Student_ID,Age,Math_Score,Science_Score,English_Score,Hours_Studied,Pass_Fail
10001,24,73,69,70,6.6,1
10002,17,72,62,70,5.2,1
10003,24,54,79,74,6.9,1
10004,22,95,58,65,8.9,1
10005,20,79,53,76,5.0,1
10006,24,62,71,67,5.0,1
10007,19,100,74,89,9.0,1
10008,20,88,64,68,7.2,1
10009,22,76,53,67,4.5,1
10010,23,85,77,77,6.7,1
10011,20,75,68,73,4.5,1
10012,20,64,71,72,4.5,1
10013,23,69,55,62,6.0,1
10014,22,41,36,52,1.3,1
10015,24,46,61,49,1.7,1
10016,17,60,62,65,4.3,1
10017,23,60,50,47,3.3,1
10018,23,87,66,56,6.2,1
10019,23,39,45,82,3.5,1
10020,23,69,47,74,2.4,1
10021,24,71,79,90,8.7,1
10022,25,65,67,70,5.0,1
10023,25,61,65,75,5.6,1
10024,18,74,51,64,2.4,1
10025,23,58,68,78,4.3,1
10026,23,74,65,64,5.7,1
10027,20,63,51,52,3.0,1
10028,25,60,61,71,6.3,1
10029,24,62,42,68,4.2,1
10030,17,78,69,63,4.9,1
10031,18,54,74,58,4.2,1
10032,18,94,73,95,9.6,1
10033,24,65,52,60,5.5,1
10034,17,70,50,73,3.2,1
10035,20,93,75,83,7.3,1
10036,21,37,49,75,2.8,1
10037,25,57,62,89,6.0,1
10038,23,46,47,56,1.2,1
10039,24,71,54,76,2.6,1
10040,25,75,70,74,5.9,1
10041,23,62,68,77,7.1,1
10042,21,77,63,71,5.9,1
10043,21,58,45,63,5.2,1
10044,22,74,72,72,4.8,1
10045,21,60,54,66,2.2,1
10046,25,52,74,49,3.9,1
10047,19,63,66,87,4.5,1
10048,19,90,73,91,7.8,1
10049,23,53,53,65,6.3,1
10050,23,55,33,59,1.6,1
10051,22,60,78,70,6.2,1
10052,19,65,67,68,4.7,1
10053,23,66,74,61,4.0,1
10054,21,94,80,77,6.8,1
10055,23,77,70,66,7.8,1
10056,18,91,50,95,7.5,1
10057,22,52,64,52,3.7,1
10058,24,60,52,70,4.8,1
10059,17,77,66,64,6.2,1
10060,20,79,78,74,7.6,1
10061,17,60,54,68,4.4,1
10062,17,63,55,67,5.1,1
10063,24,71,52,60,3.1,1
10064,23,54,34,55,2.9,1
10065,17,65,62,68,7.3,1
10066,18,72,67,85,8.5,1
10067,20,74,62,59,5.3,1
10068,17,100,64,70,7.7,1
10069,19,66,63,65,6.3,1
10070,24,84,55,60,4.1,1
10071,24,71,89,58,6.3,1
10072,24,80,86,67,8.9,1
10073,22,59,63,72,5.4,1
10074,22,80,83,85,8.9,1
10075,21,40,54,53,0.5,1
10076,25,67,75,87,7.3,1
10077,20,52,55,61,5.7,1
10078,23,83,61,50,4.8,1
10079,17,80,56,76,5.7,1
10080,25,52,44,36,1.1,1
10081,23,65,61,65,5.0,1
10082,25,71,79,73,6.3,1
10083,23,74,70,98,8.8,1
10084,18,52,52,59,4.4,1
10085,22,68,51,57,3.7,1
10086,20,61,55,70,4.4,1
10087,19,80,70,80,7.5,1
10088,18,54,71,67,6.2,1
